delta = 1/4 = 0.250000
      n      d |   k=0 log2     rate     L0 |  k>=1 log2     rate     k      L | gain(bits)
     20      5 |     14.876  0.74379      4 |     14.387  0.71933     2     11 |      0.489   [0s]
     40     10 |     25.100  0.62749      6 |     24.422  0.61056     4     16 |      0.677   [0s]
     80     20 |     42.511  0.53139      9 |     42.725  0.53406     1     11 |     -0.213   [0s]
    120     30 |     59.179  0.49316     12 |     59.551  0.49626     2     17 |     -0.372   [0s]
    160     40 |     75.544  0.47215     15 |     75.486  0.47179     2     20 |      0.058   [0s]
    200     50 |     91.633  0.45817     18 |     91.139  0.45569     2     23 |      0.495   [0s]
    240     60 |    107.375  0.44739     21 |    106.607  0.44420     2     26 |      0.767   [0s]
    320     80 |    137.968  0.43115     27 |    137.194  0.42873     2     32 |      0.774   [0s]
    400    100 |    168.180  0.42045     33 |    167.364  0.41841     3     40 |      0.816   [0s]
    600    150 |    243.992  0.40665     48 |    241.728  0.40288     2     52 |      2.263   [0s]
    800    200 |    317.885  0.39736     62 |    315.132  0.39391     5     73 |      2.753   [0s]
   1200    300 |    464.861  0.38738     90 |    460.619  0.38385     5    101 |      4.242   [0s]
   2000    500 |    756.270  0.37813    145 |    748.620  0.37431    11    170 |      7.650   [0s]
   4000   1000 |   1478.762  0.36969    283 |   1461.862  0.36547    18    323 |     16.900   [0s]
   8000   2000 |   2912.567  0.36407    554 |   2878.998  0.35987    33    629 |     33.568   [1s]
  16000   4000 |   5768.543  0.36053   1095 |   5701.451  0.35634    64   1240 |     67.093   [2s]

first n in the scan where k>=1 beats k=0: 20
