 delta        M1        M2   kappa_H  kappa_CW kappa_bin   M2-kbin   rel% |   alpha      beta     gamma       u
 0.020  0.942683  0.917985  0.918531  0.917983  0.917983 +0.000001  0.000 |  0.0104  1.04e-06  5.41e-16  0.0001   [8s]
 0.040  0.886174  0.854374  0.856225  0.854362  0.854362 +0.000011  0.001 |  0.0218  8.82e-06  1.97e-07  0.0005   [14s]
 0.060  0.830515  0.797065  0.800824  0.797027  0.797027 +0.000038  0.005 |  0.0345  3.18e-05  1.13e-06  0.0012   [20s]
 0.080  0.775750  0.743573  0.749666  0.743481  0.743481 +0.000092  0.012 |  0.0487  8.09e-05  4.13e-06  0.0025   [26s]
 0.100  0.721928  0.692741  0.699832  0.692557  0.692557 +0.000183  0.026 |  0.0649  1.70e-04  1.18e-05  0.0044   [32s]
 0.120  0.669102  0.643899  0.650570  0.643575  0.643575 +0.000324  0.050 |  0.0838  3.17e-04  2.88e-05  0.0073   [38s]
 0.140  0.617329  0.596611  0.601957  0.596084  0.596084 +0.000528  0.088 |  0.1064  5.42e-04  6.42e-05  0.0116   [43s]
 0.160  0.566673  0.550569  0.554079  0.549759  0.549759 +0.000810  0.147 |  0.1345  8.71e-04  1.34e-04  0.0178   [48s]
 0.180  0.517203  0.505544  0.507027  0.504356  0.504356 +0.001188  0.235 |  0.1710  1.33e-03  2.71e-04  0.0270   [53s]
 0.195  0.480925  0.472335  0.472339  0.470788  0.470788 +0.001547  0.328 |  0.2073  1.76e-03  4.56e-04  0.0368   [57s]
 0.220  0.422135  0.417875  0.415810  0.415554  0.415554 +0.002320  0.555 |  0.3049  2.56e-03  1.12e-03  0.0622   [61s]
 0.250  0.354579  0.353711  0.350379  0.350379  0.350379 +0.003331  0.942 |  0.5000  1.95e-03  1.95e-03  0.0758   [69s]
 0.300  0.250225  0.250225  0.248376  0.248376  0.248376 +0.001849  0.739 |  0.5000  7.86e-04  7.86e-04  0.0451   [74s]
 0.350  0.158133  0.158133  0.157506  0.157506  0.157506 +0.000627  0.397 |  0.5000  2.47e-04  2.47e-04  0.0241   [79s]
 0.400  0.081469  0.081469  0.081337  0.081337  0.081337 +0.000132  0.162 |  0.5000  4.89e-05  4.89e-05  0.0103   [85s]
