 delta        M1        M2   kappa_H  kappa_CW kappa_bin   M2-kbin   rel% |   alpha      beta     gamma       u
 0.010  0.971243  0.954234  0.954393  0.954233  0.954233 +0.000000  0.000 |  0.0051  1.27e-07  8.55e-21  0.0000   [16s]
 0.015  0.956938  0.935549  0.935877  0.935548  0.935548 +0.000001  0.000 |  0.0077  4.33e-07  3.38e-09  0.0001   [24s]
 0.020  0.942683  0.917985  0.918531  0.917983  0.917983 +0.000001  0.000 |  0.0104  1.04e-06  5.41e-16  0.0001   [31s]
 0.030  0.914325  0.885124  0.886241  0.885119  0.885119 +0.000005  0.001 |  0.0160  3.61e-06  5.87e-08  0.0003   [37s]
 0.040  0.886174  0.854374  0.856225  0.854362  0.854362 +0.000011  0.001 |  0.0218  8.82e-06  1.97e-07  0.0005   [43s]
 0.050  0.858236  0.825137  0.827872  0.825115  0.825115 +0.000022  0.003 |  0.0280  1.78e-05  5.12e-07  0.0008   [48s]
 0.060  0.830515  0.797065  0.800824  0.797027  0.797027 +0.000038  0.005 |  0.0345  3.18e-05  1.13e-06  0.0012   [54s]
 0.070  0.803018  0.769930  0.774847  0.769869  0.769869 +0.000061  0.008 |  0.0414  5.23e-05  2.25e-06  0.0018   [60s]
 0.080  0.775750  0.743573  0.749666  0.743481  0.743481 +0.000092  0.012 |  0.0487  8.09e-05  4.13e-06  0.0025   [67s]
 0.090  0.748718  0.717873  0.724682  0.717741  0.717741 +0.000132  0.018 |  0.0565  1.19e-04  7.13e-06  0.0034   [73s]
 0.100  0.721928  0.692741  0.699832  0.692557  0.692557 +0.000183  0.026 |  0.0649  1.70e-04  1.18e-05  0.0044   [79s]
 0.110  0.695387  0.668102  0.675125  0.667856  0.667856 +0.000247  0.037 |  0.0739  2.35e-04  1.87e-05  0.0057   [85s]
 0.120  0.669102  0.643899  0.650570  0.643575  0.643575 +0.000324  0.050 |  0.0838  3.17e-04  2.88e-05  0.0073   [90s]
 0.130  0.643080  0.620083  0.626177  0.619666  0.619666 +0.000417  0.067 |  0.0946  4.18e-04  4.35e-05  0.0092   [95s]
 0.140  0.617329  0.596611  0.601957  0.596084  0.596084 +0.000528  0.088 |  0.1064  5.42e-04  6.42e-05  0.0116   [100s]
 0.150  0.591857  0.573450  0.577921  0.572792  0.572792 +0.000658  0.115 |  0.1196  6.92e-04  9.35e-05  0.0144   [105s]
 0.160  0.566673  0.550569  0.554079  0.549759  0.549759 +0.000810  0.147 |  0.1345  8.71e-04  1.34e-04  0.0178   [110s]
 0.170  0.541785  0.527941  0.530443  0.526956  0.526956 +0.000986  0.187 |  0.1514  1.08e-03  1.92e-04  0.0219   [114s]
 0.180  0.517203  0.505544  0.507027  0.504356  0.504356 +0.001188  0.235 |  0.1710  1.33e-03  2.71e-04  0.0270   [118s]
 0.190  0.492936  0.483356  0.483841  0.481937  0.481937 +0.001420  0.294 |  0.1941  1.60e-03  3.83e-04  0.0332   [123s]
 0.200  0.468996  0.461360  0.460900  0.459676  0.459676 +0.001684  0.365 |  0.2221  1.91e-03  5.42e-04  0.0408   [127s]
