  delta        M2   kappa_H kappa_2row       gain | optimum (u, at, bt, b)
 0.3000  0.250225  0.248376   0.248150  +2.26e-04 | u=0.04634 at=4.234e-06 bt=8.731e-05 b=0.00230   [1s]
 0.3077  0.235193  0.233596   0.233413  +1.83e-04 | u=0.04227 at=2.970e-06 bt=6.740e-05 b=0.00191   [5s]
 0.4000  0.081469  0.081337   0.081331  +5.25e-06 | u=0.01032 at=1.128e-08 bt=1.082e-06 b=0.00011   [9s]
 0.2500  0.353711  0.350379   0.349630  +7.49e-04 | u=0.08144 at=3.505e-05 bt=3.972e-04 b=0.00723   [13s]
 0.2000  0.461360  0.460900   0.458907  +1.99e-03 | u=0.14432 at=2.441e-04 bt=1.462e-03 b=0.02182   [16s]
 0.1500  0.573450  0.577921   0.573334  +4.59e-03 | u=0.31902 at=1.940e-03 bt=4.185e-03 b=0.07418   [18s]
 0.1000  0.692741  0.699832   0.692741  +7.09e-03 | u=0.50000 at=1.761e-03 bt=1.761e-03 b=0.06346   [20s]
 0.3500  0.158133  0.157506   0.157458  +4.79e-05 | u=0.02426 at=3.372e-07 bt=1.357e-05 b=0.00061   [22s]
 0.4500  0.025266  0.026034   0.025257  +7.76e-04 | u=0.00252 at=2.170e-14 bt=1.584e-08 b=0.00001   [27s]
 0.0500  0.825137  0.827872   0.825137  +2.74e-03 | u=0.50000 at=3.703e-04 bt=3.703e-04 b=0.02788   [29s]
