  delta        M2   kappa_H kappa_2row       gain | optimum (u, at, bt, b)
 0.2350  0.385649  0.382742   0.381719  +1.02e-03 | u=0.09614 at=6.326e-05 bt=5.985e-04 b=0.01005   [1s]
 0.2400  0.374973  0.371874   0.370949  +9.24e-04 | u=0.09095 at=5.203e-05 bt=5.230e-04 b=0.00901   [3s]
 0.2500  0.353711  0.350379   0.349630  +7.49e-04 | u=0.08144 at=3.505e-05 bt=3.972e-04 b=0.00723   [4s]
 0.2600  0.332558  0.329223   0.328622  +6.02e-04 | u=0.07294 at=2.344e-05 bt=2.992e-04 b=0.00579   [5s]
 0.2800  0.290634  0.288004   0.287627  +3.77e-04 | u=0.05836 at=1.021e-05 bt=1.652e-04 b=0.00368   [7s]
 0.3000  0.250225  0.248376   0.248150  +2.26e-04 | u=0.04634 at=4.234e-06 bt=8.731e-05 b=0.00230   [8s]
 0.3077  0.235178  0.233581   0.233398  +1.83e-04 | u=0.04227 at=2.969e-06 bt=6.738e-05 b=0.00191   [10s]
 0.3200  0.211767  0.210519   0.210391  +1.28e-04 | u=0.03632 at=1.646e-06 bt=4.374e-05 b=0.00140   [11s]
 0.3500  0.158133  0.157506   0.157458  +4.79e-05 | u=0.02426 at=3.372e-07 bt=1.357e-05 b=0.00061   [13s]
 0.4000  0.081469  0.081337   0.081331  +5.25e-06 | u=0.01032 at=1.128e-08 bt=1.082e-06 b=0.00011   [14s]
 0.4500  0.025266  0.025257   0.025257  +1.12e-07 | u=0.00252 at=2.324e-20 bt=1.582e-08 b=0.00001   [17s]
 0.2000  0.461360  0.460900   0.458907  +1.99e-03 | u=0.14432 at=2.441e-04 bt=1.462e-03 b=0.02182   [19s]
 0.1500  0.573450  0.577921   0.573334  +4.59e-03 | u=0.31902 at=1.940e-03 bt=4.185e-03 b=0.07418   [20s]
 0.1200  0.643899  0.650570   0.643899  +6.67e-03 | u=0.50000 at=2.725e-03 bt=2.725e-03 b=0.08078   [22s]
 0.1000  0.692741  0.699832   0.692741  +7.09e-03 | u=0.50000 at=1.761e-03 bt=1.761e-03 b=0.06346   [25s]
