n=12 j=2 a2=3 b2=0 k=3: total=1.00000000  worst so far=5.55e-17  checked=8  [1s]
n=12 j=2 a2=3 b2=0 k=4: total=1.00000000  worst so far=1.67e-16  checked=16  [2s]
n=12 j=2 a2=3 b2=0 k=5: total=1.00000000  worst so far=1.67e-16  checked=24  [3s]
n=12 j=2 a2=3 b2=1 k=4: total=1.00000000  worst so far=1.67e-16  checked=28  [6s]
n=12 j=3 a2=3 b2=0 k=3: total=1.00000000  worst so far=2.22e-16  checked=36  [7s]
n=12 j=3 a2=3 b2=0 k=4: total=1.00000000  worst so far=2.22e-16  checked=44  [10s]
n=12 j=3 a2=3 b2=0 k=5: total=1.00000000  worst so far=2.22e-16  checked=52  [12s]
n=12 j=3 a2=3 b2=0 k=6: total=1.00000000  worst so far=2.22e-16  checked=60  [15s]
n=12 j=3 a2=3 b2=1 k=4: total=1.00000000  worst so far=2.22e-16  checked=68  [36s]
n=12 j=3 a2=3 b2=1 k=5: total=1.00000000  worst so far=2.22e-16  checked=76  [57s]
n=12 j=4 a2=3 b2=0 k=3: total=1.00000000  worst so far=2.22e-16  checked=84  [60s]
n=12 j=4 a2=3 b2=0 k=4: total=1.00000000  worst so far=2.22e-16  checked=92  [64s]
n=12 j=4 a2=3 b2=0 k=5: total=1.00000000  worst so far=2.22e-16  checked=100  [68s]
n=12 j=4 a2=3 b2=1 k=4: total=1.00000000  worst so far=2.22e-16  checked=108  [157s]
n=12 j=4 a2=3 b2=1 k=5: total=1.00000000  worst so far=2.22e-16  checked=116  [261s]
n=12 j=4 a2=3 b2=1 k=6: total=1.00000000  worst so far=2.22e-16  checked=124  [370s]
n=12 j=4 a2=3 b2=2 k=5: total=1.00000000  worst so far=2.22e-16  checked=128  [438s]
n=12 j=5 a2=3 b2=0 k=3: total=1.00000000  worst so far=2.22e-16  checked=136  [441s]
n=12 j=5 a2=3 b2=0 k=4: total=1.00000000  worst so far=2.22e-16  checked=144  [445s]
