     n | classical log2     rate    L0 |  one-row log2     rate      (k,L) |  two-row log2     rate      (k,I,J) |  gain row  gain two
   384 |        183.291  0.47732    37 |       181.983  0.47391    (2, 41) |       183.167  0.47700   (2, 39, 1) |    +1.308    +0.124   [6s]
   512 |        237.155  0.46319    47 |       236.197  0.46132    (3, 54) |       237.184  0.46325   (1, 47, 1) |    +0.958    -0.028   [25s]
   768 |        346.369  0.45100    69 |       342.858  0.44643    (3, 75) |       344.712  0.44884   (4, 75, 1) |    +3.511    +1.657   [43s]
  1024 |        451.605  0.44102    89 |       448.576  0.43806    (4, 98) |       450.665  0.44010   (5, 98, 1) |    +3.029    +0.941   [84s]
  1536 |        663.281  0.43182   130 |       658.418  0.42866   (7, 146) |       660.838  0.43023  (5, 139, 1) |    +4.863    +2.443   [124s]
  2048 |        873.824  0.42667   171 |       866.697  0.42319   (8, 189) |       869.218  0.42442 (10, 191, 1) |    +7.127    +4.606   [202s]
  3072 |       1292.543  0.42075   252 |      1281.709  0.41722  (16, 288) |      1283.985  0.41796 (14, 281, 1) |   +10.834    +8.558   [336s]
  4096 |       1709.955  0.41747   333 |      1694.679  0.41374  (15, 367) |      1697.032  0.41431 (20, 375, 1) |   +15.276   +12.923   [460s]
  6144 |       2541.971  0.41373   494 |      2517.760  0.40979  (25, 550) |      2520.330  0.41021 (29, 556, 1) |   +24.211   +21.641   [637s]
  8192 |       3371.366  0.41154   654 |      3339.133  0.40761  (31, 724) |      3341.482  0.40790 (36, 732, 1) |   +32.233   +29.884   [1084s]
